Protein.ID	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity
AIPGENE10518	0	0	0	0	0	0	16864828	45981150	39465136	83386504	53716380	45396100
AIPGENE10519	20032168	16001048	21965700	0	9164789	10859627	35175280	23008502	21997684	15781949	15080102	15266156
AIPGENE1052	0	0	0	0	0	0	1575206.1	1011244.25	1393089	0	0	0
AIPGENE10527	0	0	0	0	0	0	64461916	18977666	32904426	29496754	116533240	0
AIPGENE10529	0	0	0	0	0	0	1252730.5	4624854.5	8367369	10882860	8084905	5315205
AIPGENE10532	0	0	0	0	0	0	21194356	12557433	18389376	35442376	29496990	9780459
AIPGENE10535	0	0	0	0	0	0	35214216	78697560	56546290	83518010	60127788	45065700
AIPGENE10541	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10546	0	0	0	0	0	0	3381741.5	0	0	5251394	0	0
AIPGENE10560	0	0	0	0	0	0	15105149	18413076	12072144	8476135	7814131	15374434
AIPGENE10564	76910504	61188850	95845140	35471056	42147856	25868802	32455586	14862950	23354940	47592860	35107270	27287020
AIPGENE10584	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10586	0	0	0	0	0	0	61324280	77805880	72516230	81631850	46157236	46166428
AIPGENE10587	35409684	28789288	56828304	11076397	9631075	9841282	843371400	655473400	639137800	851160600	599309000	515059460
AIPGENE10606	15981808	16215603	0	8783578	7313972	16960174	289437980	195361060	221312160	240633140	187375600	162971060
AIPGENE10618	13953838	0	69356430	15052843	10894363	11206349	2294937900	2540701000	1807335600	2495124000	2040371100	2574507000
AIPGENE10619	0	0	0	0	0	0	15060642	6290260	7355627	3242027.8	5723663.5	0
AIPGENE10623	0	0	0	0	0	0	69179700	65564584	68691820	77796720	55717544	74295496
AIPGENE1063	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10649	0	0	0	0	0	0	4591504	5875980.5	9699027	0	10321005	0
AIPGENE10659	8657696	29694908	67896504	0	3754067.5	10727697	1184947300	1060077300	1100512100	1323584600	1333639200	795169150
AIPGENE10679	0	0	0	0	0	0	7842252	0	12624205	10030568	7175114.5	5124619
AIPGENE10686	0	15516328	0	0	1808832.5	0	0	0	0	0	0	0
AIPGENE10708	0	0	0	0	0	0	0	0	0	6928472.5	9277178	7794446
AIPGENE10716	36122750	42032120	46050320	22943800	21550372	28744264	50281204	39678496	33805732	24846398	12819497	0
AIPGENE10752	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10764	6105916	0	19657464	0	0	0	92569570	94898290	98366380	142708320	312387970	81806020
AIPGENE10773	0	0	0	0	0	0	26715894	26138394	21455738	8683731	20854992	8435848
AIPGENE10795	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE1080	10389368	0	19175118	0	12106040	8779398	67368800	58883788	89143180	85433350	92654300	65169212
AIPGENE10885	22311458	18896046	0	0	0	0	29697308	27080224	0	23130790	0	17453874
AIPGENE10893	187562000	103375110	221593520	71845410	81226330	111328500	0	0	0	0	0	0
AIPGENE10895	0	0	0	0	0	0	0	0	0	0	7373318.5	0
AIPGENE10899	0	0	0	0	0	0	40213130	18485864	15559655	17083250	8081970	5500315.5
AIPGENE10905	178037630	160134850	259113520	162559090	96735544	116561020	41398116	70999120	78106000	125324360	112232940	105278780
AIPGENE10921	0	0	0	0	0	0	0	5501270	7032209	8011749.5	0	0
AIPGENE1093	0	0	0	0	0	0	20439004	20954284	0	0	0	0
AIPGENE10935	0	0	0	0	0	0	8143421	0	16033424	3361621	6619687	0
AIPGENE10940	0	0	0	0	0	0	2660025.2	0	0	0	0	0
AIPGENE10959	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10966	0	0	0	0	0	0	44532212	54752812	56479796	62366004	59581660	38246652
AIPGENE10967	0	0	0	0	0	0	4473004	0	5677850	7285533	8122361	0
AIPGENE10977	0	0	0	0	0	0	0	0	0	6967839	6747563	0
AIPGENE10991	0	0	0	0	0	0	28684820	27117788	25551388	26105848	22317912	11749145
AIPGENE11011	0	0	0	0	0	0	6649593	0	8272991	0	4767554.5	0
AIPGENE11057	16211653	16556772	64317664	20434550	14634306	0	41054660	27690952	48626576	29019402	40141516	38993532
AIPGENE11091	0	0	0	0	0	0	28913504	11726408	42806144	36150980	62876330	13077834
AIPGENE11099	0	0	32956294	0	1847856.5	0	0	0	0	5624276	4666171.5	0
