Protein.ID	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity
AIPGENE10764	15095792	0	21372160	0	0	0	92569568	93743584	98293808	124828192	323322656	80982184
AIPGENE10773	0	0	0	0	0	0	26715894	24762768	21446482	8253658	20802770	8250884
AIPGENE10795	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE1080	10105700	7407797	14803274	0	11850514	15246338	73976624	58732568	92789208	85068376	91959528	64625468
AIPGENE10885	0	0	0	0	0	0	29697308	27049510	15811225	22676286	0	17332626
AIPGENE10893	166131632	110372016	213457424	68227296	80639136	100721760	0	0	0	0	0	0
AIPGENE10895	0	0	0	0	0	0	0	0	0	0	7321503.5	0
AIPGENE10899	0	0	0	0	0	0	40213128	18341776	15580537	16237178	8062671	5379715.5
AIPGENE10905	178110192	148767104	236484256	151215632	93772640	110344832	41398116	70056352	76492400	125121112	111715408	103970128
AIPGENE10921	0	0	0	0	0	0	0	5492054	7041646.5	7799954.5	0	0
AIPGENE1093	0	0	0	0	0	0	20439004	19598828	0	0	0	0
AIPGENE10935	0	0	0	0	0	0	8143421	0	15485878	3195132	6573168	0
AIPGENE10940	0	0	0	0	0	0	2660025.2	0	0	0	0	0
AIPGENE10959	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10966	0	0	0	0	0	0	44532212	54883300	57040992	61948956	47561032	37751176
AIPGENE10967	0	0	0	0	0	0	4473004	0	5666313	7092935.5	8065282	0
AIPGENE10977	0	0	0	0	0	0	0	0	0	6783640.5	6329074.5	0
AIPGENE10991	0	0	0	0	0	0	28684820	27092484	25754782	25580654	22228960	11659690
AIPGENE11011	0	0	0	0	0	0	0	0	8246333.5	0	4756170	0
AIPGENE11057	16463582	17918080	58117448	17067644	13432855	0	38032856	26667768	48925336	28634128	39819664	38488384
AIPGENE11091	0	0	0	0	0	0	23347980	11706765	42275192	35379440	62714064	12791090
AIPGENE11099	0	0	35533752	0	1808853.1	0	0	0	0	5345726.5	4655029	0
AIPGENE11123	416232224	331895136	447037408	330497984	294915104	335934784	197722288	172998624	228906704	148583488	200486288	164984000
AIPGENE1116	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE11167	0	0	25210886	0	0	0	194246096	192875232	206936368	240663152	184386240	87126272
AIPGENE11173	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE11186	0	0	0	0	0	0	24186252	21594302	23976474	26977136	24596704	16277696
AIPGENE11193	0	0	0	0	0	0	13999011	15758088	24957244	11892364	20693950	0
AIPGENE11223	0	0	0	0	0	0	2647414.5	0	0	0	1894873.6	0
AIPGENE11225	0	17246530	16864586	0	0	6281187	35091336	21981470	18110002	52440996	63327868	21769652
