Protein.ID	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity
AIPGENE1913	0	0	0	0	0	0	340743432.8	662053385	747866813	629848751.5	812081188.5	1290532253
AIPGENE19130	0	0	0	0	18419676	0	2661812856.2	2707136470.9	2939184088.9	2840396893.6	2213288949.5	1973932385
AIPGENE19148	16077105	12766130	19468900	0	8132321.5	6553922.5	0	0	0	0	0	0
AIPGENE1916	0	14511598000	18578164	8369986.5	0	0	172207656.5	54919407	102003596	119160014.7	151780740.5	68278191.5
AIPGENE19168	0	0	0	0	0	0	19361731	0	0	0	0	0
AIPGENE19169	0	0	0	12982559	0	0	421121804.74	429011487.7	409982988.2	620761825.5	442694877.8	373499876.5
AIPGENE1917	0	0	0	0	0	0	29119148	23785230	44670458	35957611	49636934	24111675
AIPGENE19207	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE19208	0	12132139	28395728	0	0	0	20429935.3	652330.94	42774154.5	20097537	110445381.2	58904942
AIPGENE19216	166174634	181942844	206339500	116394982.5	163330270	105492724	4458869.5	19638302.5	15125458.5	12192731	23622284	31435026
AIPGENE19220	0	0	0	0	0	0	5280879.5	0	0	0	17992170	0
AIPGENE19222	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE1923	0	0	0	0	0	0	0	0	4791096	7796993.5	9184651	0
AIPGENE19241	0	0	0	0	0	0	0	0	0	0	5108835	0
